metric,iteration,pole,mean,std,n
levenshtein,1780,eval_exact_match,0.973333,0.004714,3
levenshtein,1790,eval_exact_match,0.971667,0.004714,3
levenshtein,1800,eval_exact_match,0.971667,0.010274,3
levenshtein,1810,eval_exact_match,0.978333,0.011785,3
levenshtein,1820,eval_exact_match,0.975,0.004082,3
levenshtein,1830,eval_exact_match,0.975,0.008165,3
levenshtein,1840,eval_exact_match,0.971667,0.006236,3
levenshtein,1850,eval_exact_match,0.971667,0.008498,3
levenshtein,1860,eval_exact_match,0.98,0.004082,3
levenshtein,1870,eval_exact_match,0.975,0.004082,3
levenshtein,1880,eval_exact_match,0.97,0.007071,3
levenshtein,1890,eval_exact_match,0.966667,0.002357,3
levenshtein,1900,eval_exact_match,0.975,0.007071,3
levenshtein,1910,eval_exact_match,0.97,0.004082,3
levenshtein,1920,eval_exact_match,0.966667,0.011785,3
levenshtein,1930,eval_exact_match,0.966667,0.012472,3
levenshtein,1940,eval_exact_match,0.958333,0.006236,3
levenshtein,1950,eval_exact_match,0.96,0.004082,3
levenshtein,1960,eval_exact_match,0.968333,0.006236,3
levenshtein,1970,eval_exact_match,0.97,0.010801,3
levenshtein,1980,eval_exact_match,0.97,0.004082,3
levenshtein,1990,eval_exact_match,0.971667,0.006236,3
levenshtein,2000,eval_exact_match,0.973333,0.006236,3
levenshtein,2010,eval_exact_match,0.976667,0.004714,3
levenshtein,2020,eval_exact_match,0.975,0.007071,3
levenshtein,2030,eval_exact_match,0.978333,0.002357,3
levenshtein,2040,eval_exact_match,0.976667,0.009428,3
levenshtein,2050,eval_exact_match,0.971667,0.013123,3
levenshtein,2060,eval_exact_match,0.973333,0.011785,3
levenshtein,2070,eval_exact_match,0.975,0.007071,3
levenshtein,2080,eval_exact_match,0.976667,0.006236,3
levenshtein,2090,eval_exact_match,0.976667,0.010274,3
levenshtein,2100,eval_exact_match,0.975,0.008165,3
levenshtein,2110,eval_exact_match,0.978333,0.010274,3
levenshtein,2120,eval_exact_match,0.98,0.012247,3
levenshtein,2130,eval_exact_match,0.973333,0.010274,3
levenshtein,2140,eval_exact_match,0.976667,0.009428,3
levenshtein,2150,eval_exact_match,0.966667,0.010274,3
levenshtein,2160,eval_exact_match,0.973333,0.009428,3
levenshtein,2170,eval_exact_match,0.973333,0.002357,3
levenshtein,2180,eval_exact_match,0.978333,0.016499,3
levenshtein,2190,eval_exact_match,0.975,0.007071,3
levenshtein,2200,eval_exact_match,0.98,0.010801,3
levenshtein,2210,eval_exact_match,0.976667,0.006236,3
levenshtein,2220,eval_exact_match,0.973333,0.002357,3
levenshtein,2230,eval_exact_match,0.985,0.004082,3
levenshtein,2240,eval_exact_match,0.985,0.008165,3
levenshtein,2250,eval_exact_match,0.993333,0.009428,3
levenshtein,2260,eval_exact_match,0.996667,0.002357,3
levenshtein,2270,eval_exact_match,0.99,0.004082,3
levenshtein,2280,eval_exact_match,0.986667,0.002357,3
levenshtein,2290,eval_exact_match,0.986667,0.004714,3
levenshtein,2300,eval_exact_match,0.986667,0.006236,3
levenshtein,2310,eval_exact_match,0.98,0.007071,3
levenshtein,2320,eval_exact_match,0.983333,0.008498,3
levenshtein,2330,eval_exact_match,0.986667,0.010274,3
levenshtein,2340,eval_exact_match,0.986667,0.006236,3
levenshtein,2350,eval_exact_match,0.978333,0.012472,3
levenshtein,2360,eval_exact_match,0.981667,0.006236,3
levenshtein,2370,eval_exact_match,0.983333,0.010274,3
levenshtein,2380,eval_exact_match,0.985,0.010801,3
levenshtein,2390,eval_exact_match,0.981667,0.002357,3
levenshtein,2400,eval_exact_match,0.986667,0.006236,3
levenshtein,2410,eval_exact_match,0.988333,0.004714,3
levenshtein,2420,eval_exact_match,0.983333,0.006236,3
levenshtein,2430,eval_exact_match,0.983333,0.004714,3
levenshtein,2440,eval_exact_match,0.983333,0.002357,3
levenshtein,2450,eval_exact_match,0.99,0.0,3
levenshtein,2460,eval_exact_match,0.983333,0.008498,3
levenshtein,2470,eval_exact_match,0.98,0.008165,3
levenshtein,2480,eval_exact_match,0.99,0.004082,3
levenshtein,2490,eval_exact_match,0.986667,0.002357,3
levenshtein,2500,eval_exact_match,0.988333,0.006236,3
levenshtein,2510,eval_exact_match,0.991667,0.004714,3
levenshtein,2520,eval_exact_match,0.988333,0.006236,3
levenshtein,2530,eval_exact_match,0.983333,0.006236,3
levenshtein,2540,eval_exact_match,0.983333,0.009428,3
levenshtein,2550,eval_exact_match,0.988333,0.002357,3
levenshtein,2560,eval_exact_match,0.985,0.007071,3
levenshtein,2570,eval_exact_match,0.99,0.004082,3
levenshtein,2580,eval_exact_match,0.991667,0.006236,3
levenshtein,2590,eval_exact_match,0.988333,0.006236,3
levenshtein,2600,eval_exact_match,0.985,0.004082,3
levenshtein,2610,eval_exact_match,0.986667,0.006236,3
levenshtein,2620,eval_exact_match,0.986667,0.008498,3
levenshtein,2630,eval_exact_match,0.988333,0.002357,3
levenshtein,2640,eval_exact_match,0.988333,0.002357,3
levenshtein,2650,eval_exact_match,0.985,0.004082,3
levenshtein,2660,eval_exact_match,0.991667,0.004714,3
levenshtein,2670,eval_exact_match,0.988333,0.006236,3
levenshtein,2680,eval_exact_match,0.99,0.004082,3
levenshtein,2690,eval_exact_match,0.988333,0.002357,3
levenshtein,2700,eval_exact_match,0.983333,0.002357,3
levenshtein,2710,eval_exact_match,0.98,0.008165,3
levenshtein,2720,eval_exact_match,0.985,0.010801,3
levenshtein,2730,eval_exact_match,0.986667,0.006236,3
levenshtein,2740,eval_exact_match,0.986667,0.008498,3
levenshtein,2750,eval_exact_match,0.991667,0.006236,3
levenshtein,2760,eval_exact_match,0.983333,0.006236,3
levenshtein,2770,eval_exact_match,0.985,0.007071,3
levenshtein,2780,eval_exact_match,0.99,0.004082,3
levenshtein,2790,eval_exact_match,0.991667,0.006236,3
levenshtein,2800,eval_exact_match,0.986667,0.006236,3
levenshtein,2810,eval_exact_match,0.986667,0.006236,3
levenshtein,2820,eval_exact_match,0.988333,0.006236,3
levenshtein,2830,eval_exact_match,0.988333,0.006236,3
